Time,TotalUsage,SystemUsage,MemoryUsage
1745568078.653301,16568000,2959960000000,3633152
1745568079.657305,1022377000,2972000000000,5439488
1745568080.6597729,2024282000,2984030000000,6488064
1745568081.665473,3030215000,2996100000000,7536640
1745568082.668469,4033169000,3008130000000,8323072
1745568083.674598,5039148000,3020210000000,9105408
1745568084.678039,6042069000,3032240000000,9879552
1745568085.684371,7049031000,3044320000000,10403840
1745568086.689087,8054002000,3056380000000,11190272
1745568087.6921039,9055952000,3068420000000,11706368
1745568088.697699,10061914000,3080490000000,12230656
1745568089.705238,11068874000,3092550000000,12750848
1745568090.7089732,12072836000,3104590000000,13275136
1745568091.716465,13079751000,3116690000000,13799424
1745568092.722378,14086702000,3128770000000,14323712
1745568093.725491,15089662000,3140800000000,14848000
1745568094.73177,16095595000,3152870000000,15372288
1745568095.738528,17102563000,3164940000000,15896576
1745568096.7413561,18105516000,3176980000000,16420864
1745568097.7443688,19108454000,3189010000000,16683008
1745568098.7453692,20109418000,3201040000000,17207296
1745568099.748055,21111367000,3213060000000,17731584
1745568100.755157,22118315000,3225130000000,17993728
1745568101.761059,23125272000,3237210000000,18518016
1745568102.765599,24128224000,3249250000000,19042304
1745568103.7713861,25135168000,3261320000000,19304448
1745568104.77791,26141092000,3273400000000,19828736
1745568105.781226,27145046000,3285430000000,20353024
1745568106.787564,28151006000,3297510000000,20615168
1745568107.78932,29152974000,3309530000000,21139456
1745568108.79096,30154925000,3321540000000,21401600
1745568109.798066,31160823000,3333620000000,21925888
1745568110.803842,32166722000,3345670000000,22188032
1745568111.806431,33169673000,3357710000000,22450176
1745568112.808705,34171632000,3369740000000,22974464
1745568113.80921,35172601000,3381750000000,23236608
1745568114.8126059,36175509000,3393780000000,23760896
1745568115.818238,37181463000,3405850000000,24023040
1745568116.824345,38187424000,3417920000000,24547328
1745568117.826841,39189373000,3429960000000,24809472
1745568118.8332832,40196283000,3442020000000,25071616
1745568119.839392,41202221000,3454080000000,25595904
1745568120.843063,42205166000,3466120000000,25858048
1745568121.849449,43212135000,3478200000000,26120192
1745568122.8550951,44218088000,3490280000000,26644480
1745568123.858111,45221034000,3502310000000,26906624
1745568124.864792,46226989000,3514380000000,27168768
1745568125.87227,47233916000,3526470000000,27693056
1745568126.8756359,48237874000,3538510000000,27955200
1745568127.8820648,49244832000,3550580000000,28217344
1745568128.889083,50250780000,3562650000000,28479488
1745568129.892941,51254731000,3574680000000,29003776
1745568130.89864,52260671000,3586750000000,29265920
1745568131.901441,53262612000,3598780000000,29528064
1745568132.9035819,54265581000,3610800000000,29790208
1745568133.909486,55271539000,3622870000000,30314496
