test,rps,avg_latency_ms,min_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,connection,requests
SET,52356.02,0.133,0.064,0.135,0.167,0.215,6.471,10.0,40000.0
GET,53835.8,0.129,0.056,0.135,0.167,0.223,0.639,10.0,40000.0
SET,52493.44,0.132,0.064,0.135,0.175,0.223,0.759,10.0,40000.0
GET,51480.05,0.131,0.056,0.135,0.159,0.199,0.391,10.0,40000.0
SET,52700.92,0.131,0.056,0.135,0.167,0.215,0.455,10.0,40000.0
GET,53619.3,0.129,0.048,0.135,0.167,0.207,1.223,10.0,40000.0
SET,51746.44,0.132,0.048,0.135,0.167,0.215,0.975,10.0,40000.0
GET,52631.58,0.13,0.064,0.135,0.159,0.207,0.615,10.0,40000.0
SET,53333.33,0.13,0.064,0.135,0.167,0.215,0.751,10.0,40000.0
GET,53763.44,0.129,0.064,0.135,0.167,0.215,0.615,10.0,40000.0
SET,53333.33,0.131,0.064,0.135,0.167,0.215,0.759,10.0,40000.0
GET,54054.05,0.127,0.056,0.135,0.159,0.207,0.455,10.0,40000.0
SET,51746.44,0.133,0.056,0.135,0.167,0.215,0.679,10.0,40000.0
GET,54421.77,0.127,0.056,0.135,0.159,0.199,0.551,10.0,40000.0
SET,52910.05,0.132,0.064,0.135,0.175,0.231,2.023,10.0,40000.0
GET,53763.44,0.128,0.064,0.135,0.159,0.199,0.383,10.0,40000.0
SET,52770.45,0.131,0.064,0.135,0.167,0.215,1.855,10.0,40000.0
GET,53050.4,0.129,0.056,0.135,0.159,0.199,0.551,10.0,40000.0
SET,53191.49,0.131,0.064,0.135,0.167,0.215,0.895,10.0,40000.0
GET,53191.49,0.129,0.064,0.135,0.167,0.207,0.671,10.0,40000.0
SET,44742.73,0.62,0.136,0.599,0.711,0.815,20.799,50.0,40000.0
GET,55325.04,0.491,0.16,0.487,0.591,0.663,1.383,50.0,40000.0
SET,52083.33,0.525,0.152,0.527,0.631,0.815,2.639,50.0,40000.0
GET,51746.44,0.524,0.152,0.535,0.615,0.751,1.639,50.0,40000.0
SET,53050.4,0.514,0.144,0.519,0.615,0.783,2.511,50.0,40000.0
GET,55632.82,0.495,0.144,0.487,0.599,0.815,1.791,50.0,40000.0
SET,53191.49,0.515,0.144,0.511,0.615,0.935,3.239,50.0,40000.0
GET,53763.44,0.503,0.128,0.511,0.591,0.655,1.319,50.0,40000.0
SET,53547.52,0.513,0.152,0.511,0.615,0.967,2.391,50.0,40000.0
GET,55248.62,0.493,0.16,0.487,0.599,0.687,1.519,50.0,40000.0
SET,54570.26,0.503,0.144,0.495,0.615,0.823,2.087,50.0,40000.0
GET,55325.04,0.494,0.168,0.487,0.591,0.751,1.455,50.0,40000.0
SET,42105.27,0.704,0.152,0.543,1.687,2.783,4.551,50.0,40000.0
GET,54347.82,0.51,0.12,0.503,0.639,0.959,1.935,50.0,40000.0
SET,51282.05,0.558,0.136,0.511,0.775,1.951,8.895,50.0,40000.0
GET,45662.1,0.602,0.176,0.599,0.727,1.039,2.023,50.0,40000.0
SET,45248.87,0.617,0.168,0.607,0.759,1.167,2.031,50.0,40000.0
GET,46457.61,0.603,0.168,0.591,0.775,1.127,2.223,50.0,40000.0
SET,52015.61,0.529,0.16,0.527,0.623,0.919,2.999,50.0,40000.0
GET,53547.52,0.519,0.144,0.519,0.663,0.983,1.551,50.0,40000.0
SET,50251.26,1.053,0.336,1.055,1.239,1.727,10.255,100.0,40000.0
GET,41109.97,1.387,0.288,1.111,3.015,4.055,6.503,100.0,40000.0
SET,53835.8,1.021,0.28,0.967,1.423,2.207,3.599,100.0,40000.0
GET,52631.58,1.013,0.224,1.015,1.223,1.783,3.319,100.0,40000.0
SET,53404.54,1.01,0.168,0.999,1.239,1.815,3.055,100.0,40000.0
GET,43431.05,1.237,0.328,1.231,1.551,2.351,4.831,100.0,40000.0
SET,50890.59,1.051,0.24,1.039,1.295,1.871,7.831,100.0,40000.0
GET,52219.32,1.025,0.232,1.023,1.255,1.871,3.447,100.0,40000.0
SET,53050.4,1.048,0.208,1.023,1.527,2.039,3.255,100.0,40000.0
GET,52083.33,1.034,0.176,1.015,1.335,2.199,4.487,100.0,40000.0
SET,52356.02,1.021,0.312,1.031,1.207,1.799,2.951,100.0,40000.0
GET,48543.69,1.095,0.288,1.071,1.359,1.807,3.495,100.0,40000.0
SET,44444.45,1.232,0.408,1.183,1.703,2.415,4.215,100.0,40000.0
GET,50825.92,1.043,0.256,1.031,1.295,1.791,3.511,100.0,40000.0
SET,51746.44,1.027,0.288,1.031,1.207,1.703,3.271,100.0,40000.0
GET,53050.4,0.995,0.312,0.975,1.183,1.543,2.935,100.0,40000.0
SET,52219.32,1.044,0.248,1.015,1.463,2.143,5.047,100.0,40000.0
GET,51612.91,1.049,0.248,1.039,1.351,1.999,3.759,100.0,40000.0
SET,49689.44,1.102,0.16,1.031,1.495,3.799,7.495,100.0,40000.0
GET,54127.2,0.984,0.216,0.967,1.167,1.599,3.175,100.0,40000.0
